,endTime,artistName,trackName,msPlayed,minsPlayed
102,2021-08-22 06:53,Taylor Swift,Out Of The Woods,23,0.00038333333333333334
103,2021-08-22 06:53,Lorde,Royals,1850,0.030833333333333334
104,2021-08-22 06:54,Ed Sheeran,Perfect,13626,0.2271
105,2021-08-22 06:54,Ed Sheeran,Thinking out Loud,2857,0.04761666666666667
106,2021-08-22 06:54,Taylor Swift,Out Of The Woods,2014,0.03356666666666667
107,2021-08-22 06:54,Ed Sheeran,Bad Habits,5977,0.09961666666666667
108,2021-08-22 06:55,Bo Burnham,Bezos I,58149,0.96915
109,2021-08-22 07:30,Vicetone,What I've Waited For,205793,3.429883333333333
110,2021-08-22 11:11,aespa,Next Level,5320,0.08866666666666667
111,2021-08-22 11:14,Panic! At The Disco,High Hopes,190946,3.1824333333333334
112,2021-08-22 11:18,Panic! At The Disco,High Hopes,190946,3.1824333333333334
113,2021-08-22 11:21,Panic! At The Disco,High Hopes,174196,2.9032666666666667
114,2021-08-22 11:21,Panic! At The Disco,Dancing's Not a Crime,33670,0.5611666666666667
115,2021-08-22 11:47,Panic! At The Disco,High Hopes,111623,1.8603833333333333
116,2021-08-23 05:41,Panic! At The Disco,(Fuck A) Silver Lining,18430,0.30716666666666664
117,2021-08-23 05:41,Panic! At The Disco,Roaring 20s,6942,0.1157
118,2021-08-23 05:41,Panic! At The Disco,High Hopes,190946,3.1824333333333334
119,2021-08-23 05:44,Panic! At The Disco,Say Amen (Saturday Night),189186,3.1531
120,2021-08-23 05:45,Panic! At The Disco,Nearly Witches (Ever Since We Met...),2901,0.04835
121,2021-08-23 05:45,Panic! At The Disco,"Hey Look Ma, I Made It",14903,0.24838333333333334
122,2021-08-23 05:45,Panic! At The Disco,Death of a Bachelor,995,0.016583333333333332
123,2021-08-23 05:45,Panic! At The Disco,Hallelujah,1195,0.019916666666666666
124,2021-08-23 06:08,Panic! At The Disco,Don't Threaten Me with a Good Time,47320,0.7886666666666666
125,2021-08-23 09:52,Panic! At The Disco,Victorious,178600,2.9766666666666666
126,2021-08-23 09:55,Panic! At The Disco,Crazy = Genius,810,0.0135
127,2021-08-23 09:55,Panic! At The Disco,Golden Days,1720,0.028666666666666667
128,2021-08-23 09:55,Panic! At The Disco,Don't Threaten Me with a Good Time,1478,0.024633333333333333
129,2021-08-23 09:55,Panic! At The Disco,House of Memories,2201,0.03668333333333333
130,2021-08-23 09:55,Panic! At The Disco,Death of a Bachelor,163731,2.72885
131,2021-08-23 09:55,Panic! At The Disco,Hallelujah,23,0.00038333333333333334
132,2021-08-23 09:55,Panic! At The Disco,"The Good, the Bad and the Dirty",738,0.0123
133,2021-08-23 10:20,Panic! At The Disco,LA Devotee,160000,2.6666666666666665
134,2021-08-24 12:58,Panic! At The Disco,High Hopes,190946,3.1824333333333334
135,2021-08-24 13:01,Panic! At The Disco,High Hopes,22093,0.3682166666666667
136,2021-08-24 13:01,Panic! At The Disco,High Hopes,186544,3.1090666666666666
137,2021-08-24 13:02,Tobtok,New Levels (feat. Mila Falls),35544,0.5924
138,2021-08-26 11:04,Panic! At The Disco,High Hopes,190946,3.1824333333333334
139,2021-08-26 11:07,Panic! At The Disco,High Hopes,190946,3.1824333333333334
140,2021-08-26 11:25,Panic! At The Disco,High Hopes,18546,0.3091
141,2021-08-26 14:31,Imagine Dragons,Believer,200500,3.341666666666667
142,2021-08-26 14:32,Imagine Dragons,Believer,1980,0.033
143,2021-08-26 14:32,Imagine Dragons,Believer,8820,0.147
144,2021-08-26 14:34,Wyclef Jean,China Wine,93828,1.5638
145,2021-08-28 07:45,Dua Lipa,Levitating (feat. DaBaby),2120,0.035333333333333335
146,2021-08-28 07:45,LANNÉ,Anywhere,4761,0.07935
147,2021-08-28 07:48,Panic! At The Disco,High Hopes,190946,3.1824333333333334
148,2021-08-28 07:49,Panic! At The Disco,High Hopes,62639,1.0439833333333333
149,2021-08-28 07:52,B-Case,Can't Buy Love (feat. Baby E),37634,0.6272333333333333
150,2021-08-28 07:52,B-Case,Can't Buy Love (feat. Baby E),156510,2.6085
151,2021-08-28 07:55,Tobtok,New Levels (feat. Mila Falls),155808,2.5968
152,2021-08-28 07:56,Tobtok,New Levels (feat. Mila Falls),87035,1.4505833333333333
153,2021-08-28 07:59,aespa,Next Level,120953,2.0158833333333335
154,2021-08-28 07:59,Bo Burnham,Bezos I,58149,0.96915
155,2021-08-28 08:00,Bo Burnham,Bezos I,8312,0.13853333333333334
156,2021-08-28 08:02,Ofenbach,Be Mine,161322,2.6887
157,2021-08-28 08:04,Ofenbach,Head Shoulders Knees & Toes (feat. Norma Jean Martine),128899,2.1483166666666667
158,2021-08-28 08:07,Kygo,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",161468,2.691133333333333
159,2021-08-28 08:10,Imagine Dragons,Thunder,187146,3.1191
160,2021-08-28 08:11,Imagine Dragons,Demons,333,0.00555
161,2021-08-28 08:11,Imagine Dragons,Bullet In A Gun,17179,0.28631666666666666
162,2021-08-28 08:22,Imagine Dragons,Demons,67080,1.118
163,2021-08-28 08:26,Dua Lipa,Levitating (feat. DaBaby),1104,0.0184
164,2021-08-28 08:29,GAMPER & DADONI,Rule The World (feat. ILIRA),170785,2.846416666666667
165,2021-08-28 08:31,Alice Merton,No Roots,114961,1.9160166666666667
166,2021-08-28 08:33,Clean Bandit,Higher (feat. iann dior),135453,2.25755
167,2021-08-28 08:35,LANNÉ,Anywhere,137010,2.2835
168,2021-08-28 08:37,Robin Schulz,All We Got (feat. KIDDO) - Ofenbach Remix,129814,2.1635666666666666
169,2021-08-28 08:40,Ariana Grande,positions,172324,2.8720666666666665
170,2021-08-28 08:43,DJMashup,Don't Worry (Originally Performed by Madcon Ft. Ray Dalton),137300,2.2883333333333336
171,2021-08-29 00:35,KARD,Oh NaNa (Hidden. HUR YOUNG JI),206772,3.4462
172,2021-08-29 00:41,KARD,Oh NaNa (Hidden. HUR YOUNG JI),5337,0.08895
173,2021-08-29 00:41,KARD,Oh NaNa (Hidden. HUR YOUNG JI),4147,0.06911666666666667
174,2021-08-29 00:44,KARD,GUNSHOT,181480,3.0246666666666666
175,2021-08-29 00:45,KARD,I can't stop,5842,0.09736666666666667
176,2021-08-29 00:45,KARD,Meal Meal,2074,0.03456666666666667
177,2021-08-29 00:45,KARD,Living Good (Special thanks to.),2613,0.04355
178,2021-08-29 00:45,SUPER JUNIOR,Lo Siento - Bonus Track,704,0.011733333333333333
179,2021-08-29 00:45,KARD,JINIKKA,1835,0.030583333333333334
180,2021-08-29 00:47,KARD,Living Good (Special thanks to.),3391,0.056516666666666666
181,2021-08-29 00:47,KARD,Bomb Bomb,163508,2.7251333333333334
182,2021-08-29 00:50,KARD,RED MOON,172146,2.8691
183,2021-08-29 00:50,KARD,Meal Meal,3151,0.05251666666666667
184,2021-08-29 00:54,KARD,Dumb Litty,193160,3.219333333333333
185,2021-08-29 00:54,KARD,Moonlight,9678,0.1613
186,2021-08-29 01:24,KARD,Don't Recall,38667,0.64445
187,2021-08-29 01:24,KARD,AH EE YAH,1143,0.01905
188,2021-08-29 01:24,KARD,Don't Recall - Hidden Ver.,0,0.0
189,2021-08-29 01:24,Fall Out Boy,Irresistible,7470,0.1245
190,2021-08-29 01:24,KARD,Hola Hola,81340,1.3556666666666666
191,2021-08-29 01:24,KARD,RUMOR,6736,0.11226666666666667
192,2021-08-29 01:25,Yu-Peng Chen,Caelestinum Finale Termini,25534,0.42556666666666665
193,2021-08-29 02:07,Calvin Harris,One Kiss (with Dua Lipa),131323,2.1887166666666666
194,2021-08-29 08:28,SHINee,Sherlock (Clue + Note),3906,0.0651
195,2021-08-29 08:32,Macklemore,Thrift Shop (feat. Wanz),235613,3.9268833333333335
196,2021-08-29 08:36,GD X TAEYANG,GOOD BOY,245192,4.086533333333334
197,2021-08-29 08:40,Mark Ronson,Uptown Funk (feat. Bruno Mars),5849,0.09748333333333334
198,2021-08-29 08:40,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),382,0.006366666666666666
199,2021-08-29 08:40,P!nk,Raise Your Glass,803,0.013383333333333334
200,2021-08-29 08:40,Nicki Minaj,Feeling Myself,188074,3.1345666666666667
201,2021-08-29 08:40,Taylor Swift,I Wish You Would,1120,0.018666666666666668
202,2021-08-29 08:40,ONE OK ROCK,The Beginning,1193,0.019883333333333333
203,2021-08-29 08:44,Little Mix,Move,136,0.002266666666666667
204,2021-08-29 08:44,Little Mix,Black Magic,3845,0.06408333333333334
205,2021-08-29 08:44,Little Mix,Black Magic,23,0.00038333333333333334
206,2021-08-29 08:44,Rihanna,S&M,226533,3.77555
207,2021-08-29 08:47,Anne-Marie,Kiss My (Uh Oh),176800,2.9466666666666668
208,2021-08-29 08:50,Little Mix,Touch,213306,3.5551
209,2021-08-29 08:53,Little Mix,Break Up Song,200293,3.338216666666667
210,2021-08-29 08:54,Little Mix,You Gotta Not,15830,0.2638333333333333
211,2021-08-29 08:54,Little Mix,Told You So,1742,0.029033333333333335
212,2021-08-29 08:54,Little Mix,Secret Love Song (feat. Jason Derulo),0,0.0
213,2021-08-29 08:54,Little Mix,Think About Us (feat. Ty Dolla $ign),413,0.006883333333333333
214,2021-08-29 08:54,Little Mix,Down & Dirty,630,0.0105
215,2021-08-29 08:54,Little Mix,If I Get My Way,0,0.0
216,2021-08-29 08:54,Little Mix,Little Me,0,0.0
217,2021-08-29 08:56,Little Mix,Wasabi,154786,2.5797666666666665
218,2021-08-29 08:57,Little Mix,DNA,5451,0.09085
219,2021-08-29 09:01,CNCO,Reggaetón Lento (Remix),23,0.00038333333333333334
220,2021-08-29 09:01,Little Mix,Touch - Acoustic,36471,0.60785
221,2021-08-29 09:01,Little Mix,Shout Out to My Ex,246240,4.104
222,2021-08-29 09:05,Little Mix,Move,224333,3.7388833333333333
223,2021-08-29 09:23,Little Mix,Black Magic - Acoustic,74129,1.2354833333333333
224,2021-08-29 10:05,Taylor Swift,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),6283,0.10471666666666667
225,2021-08-29 10:05,Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),1317,0.02195
226,2021-08-29 10:05,Meghan Trainor,Dear Future Husband,718,0.011966666666666667
227,2021-08-29 10:05,WayV,Kick Back,3103,0.05171666666666667
228,2021-08-29 10:05,Taylor Swift,Treacherous,3051,0.05085
229,2021-08-29 10:05,Taylor Swift,That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),2076,0.0346
230,2021-08-29 10:05,Taylor Swift,happiness,894,0.0149
231,2021-08-29 10:05,Little Mix,Nobody Like You,4074,0.0679
232,2021-08-29 10:05,Taylor Swift,We Were Happy (Taylor’s Version) (From The Vault),4855,0.08091666666666666
233,2021-08-29 10:09,TAEMIN,Advice,899,0.014983333333333333
234,2021-08-29 10:09,Fall Out Boy,The Last Of The Real Ones,504,0.0084
235,2021-08-29 10:09,Rudimental,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",211760,3.529333333333333
236,2021-08-29 10:09,Zayde Wølf,Hustler,582,0.0097
237,2021-08-29 10:09,David Puentez,Call You Mine (feat. Nina Chuba),964,0.016066666666666667
238,2021-08-29 10:09,Fort Minor,Remember the Name (feat. Styles of Beyond),2829,0.04715
239,2021-08-29 10:09,SHINee,Don't Call Me,4806,0.0801
240,2021-08-29 10:09,Unlike Pluto,Everything Black,951,0.01585
241,2021-08-29 10:09,Imagine Dragons,Whatever It Takes,1289,0.021483333333333333
242,2021-08-29 10:10,Alec Benjamin,The Way You Felt,56986,0.9497666666666666
243,2021-08-29 10:10,SHINee,Atlantis,1066,0.017766666666666667
244,2021-08-29 10:10,SHINee,Atlantis,841,0.014016666666666667
245,2021-08-29 10:10,Ofenbach,Be Mine,744,0.0124
246,2021-08-29 10:12,Ofenbach,Be Mine,161322,2.6887
247,2021-08-29 11:00,Rain,WHY DON’T WE(Feat. 金請夏),0,0.0
248,2021-08-29 11:00,Duke Dumont,Need U (100%) (feat. A*M*E),6442,0.10736666666666667
249,2021-08-29 11:00,WayV,Kick Back,868,0.014466666666666666
250,2021-08-29 11:00,SHINee,Atlantis,777,0.01295
251,2021-08-29 11:00,Zayde Wølf,Hustler,2028,0.0338
252,2021-08-29 11:03,Macklemore,Glorious (feat. Skylar Grey),220454,3.6742333333333335
253,2021-08-29 11:06,Clean Bandit,Tick Tock (feat. 24kGoldn),178373,2.9728833333333333
254,2021-08-29 12:04,Ofenbach,Be Mine,148815,2.48025
255,2021-08-31 03:14,Vicetone,Nevada,208561,3.4760166666666668
256,2021-08-31 03:17,Alec Benjamin,The Way You Felt,182810,3.0468333333333333
257,2021-08-31 03:21,Unlike Pluto,Everything Black,228979,3.816316666666667
258,2021-08-31 03:24,Joel Corry,Head & Heart (feat. MNEK),166028,2.7671333333333332
259,2021-08-31 03:25,Fall Out Boy,The Last Of The Real Ones,70886,1.1814333333333333
260,2021-08-31 03:28,Yoh kamiyama,YELLOW,178712,2.9785333333333335
261,2021-08-31 03:32,Ariana Grande,Into You,244440,4.074
262,2021-08-31 03:34,Song Jin Suk,Questo edificio è mio,134505,2.24175
263,2021-08-31 03:37,SHINee,View,190821,3.18035
264,2021-08-31 03:41,SHINee,Don't Call Me,220173,3.66955
265,2021-08-31 03:43,Yu-Peng Chen,Contemplation in Snow,122864,2.0477333333333334
266,2021-08-31 03:47,Why Don't We,Fallin’ (Adrenaline),216504,3.6084
267,2021-08-31 03:50,Melonia,Sweet Child O' Mine,177533,2.9588833333333335
268,2021-08-31 03:53,TAEMIN,Advice,191640,3.194
269,2021-08-31 03:56,Shawn Mendes,Wonder,172692,2.8782
270,2021-08-31 04:28,IA,Conqueror,8255,0.13758333333333334
271,2021-08-31 06:30,Ofenbach,Head Shoulders Knees & Toes (feat. Norma Jean Martine),3313,0.055216666666666664
272,2021-08-31 06:30,Song Jin Suk,Questo edificio è mio,1003,0.016716666666666668
273,2021-08-31 06:30,Melonia,Sweet Child O' Mine,1702,0.028366666666666665
274,2021-08-31 06:30,IA,Conqueror,525,0.00875
275,2021-08-31 06:30,SHINee,Don't Call Me,823,0.013716666666666667
276,2021-08-31 06:30,Imagine Dragons,Whatever It Takes,26484,0.4414
277,2021-08-31 06:33,TAEMIN,Advice,191640,3.194
278,2021-08-31 06:36,WayV,Kick Back,0,0.0
279,2021-08-31 06:36,SHINee,Atlantis,178213,2.9702166666666665
280,2021-08-31 06:39,JC Stewart,I Need You To Hate Me - Alle Farben Remix,173552,2.892533333333333
281,2021-08-31 06:39,Zayde Wølf,Hustler,878,0.014633333333333333
282,2021-08-31 06:42,Ariana Grande,Into You,151921,2.532016666666667
283,2021-08-31 06:42,Yu-Peng Chen,Contemplation in Snow,556,0.009266666666666666
284,2021-08-31 06:44,David Puentez,Call You Mine (feat. Nina Chuba),141312,2.3552
285,2021-08-31 06:47,David Guetta,Let's Love - Robin Schulz Remix,172154,2.8692333333333333
286,2021-08-31 06:50,Yoh kamiyama,YELLOW,178712,2.9785333333333335
287,2021-08-31 06:54,aespa,Next Level,221573,3.6928833333333335
288,2021-08-31 06:57,Clean Bandit,Tick Tock (feat. 24kGoldn),178373,2.9728833333333333
289,2021-08-31 06:59,Shawn Mendes,Wonder,172692,2.8782
290,2021-08-31 07:00,SHINee,View,3534,0.0589
291,2021-08-31 07:03,Why Don't We,Fallin’ (Adrenaline),216504,3.6084
292,2021-08-31 07:06,Rain,WHY DON’T WE(Feat. 金請夏),178386,2.9731
293,2021-08-31 07:10,Fall Out Boy,The Last Of The Real Ones,230400,3.84
294,2021-08-31 07:12,Ofenbach,Head Shoulders Knees & Toes (feat. Norma Jean Martine),99114,1.6519
